"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Oct 01 18:01:31 GMT 2025","Wed Oct 01 18:01:43 GMT 2025","11485","","tests.GithubSelenideTests","","tests.GithubSelenideTests","searchGithubIssueInRepoTest","Проверка наличия Issue в репозитории",""
"failed","Wed Oct 01 18:01:18 GMT 2025","Wed Oct 01 18:01:31 GMT 2025","12718","","tests.GithubLambdaStepsTests","","tests.GithubLambdaStepsTests","searchGithubIssueInRepoWithLambdaStepsTest","Проверка наличия Issue в репозитории",""
"failed","Wed Oct 01 18:01:43 GMT 2025","Wed Oct 01 18:01:54 GMT 2025","11653","","tests.GithubStepsTest","","tests.GithubStepsTest","searchGithubIssueInRepoWithLambdaStepsTest","Проверка наличия Issue в репозитории",""
